Questionnaire,N,AUC,95% CI,p-value vs. AUC = .50,Optimal ROC cutoff,Sensitivity,Specificity,Literature-based cutoff
AQ,429,0.781,"[0.738, 0.824]",3.2899999999999996e-37,17.5,0.718,0.722,NA
ASRS,432,0.987,"[0.979, 0.994]",0,32.5,0.908,0.956,40
WURS,427,0.945,"[0.926, 0.965]",0,26.5,0.853,0.892,36
BDI,430,0.77,"[0.726, 0.814]",1.54e-33,8.5,0.704,0.696,14
OCI-R,425,0.727,"[0.679, 0.775]",1.83e-20,15.5,0.708,0.659,21
PQ-B,347,0.701,"[0.647, 0.755]",3.26e-13,2.5,0.636,0.678,7
STAI-State,427,0.73,"[0.682, 0.777]",2.3000000000000004e-21,21.5,0.588,0.785,40
STAI-Trait,427,0.749,"[0.703, 0.795]",3.21e-26,20.5,0.657,0.744,44
PATAS,194,0.726,"[0.626, 0.827]",1.09e-5,18.5,0.671,0.741,NA
ICAR,425,0.518,"[0.463, 0.573]",0.527,8.5,0.51,0.547,NA
